2023-07-04 17:01:34.777211: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
INFO:rademacher:Validate - Epoch: 81, Loss: -2.851340, Metrics:
INFO:rademacher:Train - Epoch: 82, Loss: -2.881595, Metrics:
INFO:rademacher:Validate - Epoch: 82, Loss: -2.881595, Metrics:
INFO:rademacher:Train - Epoch: 83, Loss: -2.911845, Metrics:
INFO:rademacher:Validate - Epoch: 83, Loss: -2.911845, Metrics:
INFO:rademacher:Train - Epoch: 84, Loss: -2.942107, Metrics:
INFO:rademacher:Validate - Epoch: 84, Loss: -2.942107, Metrics:
INFO:rademacher:Train - Epoch: 85, Loss: -2.972386, Metrics:
INFO:rademacher:Validate - Epoch: 85, Loss: -2.972386, Metrics:
INFO:rademacher:Train - Epoch: 86, Loss: -3.002663, Metrics:
INFO:rademacher:Validate - Epoch: 86, Loss: -3.002663, Metrics:
INFO:rademacher:Train - Epoch: 87, Loss: -3.032909, Metrics:
INFO:rademacher:Validate - Epoch: 87, Loss: -3.032909, Metrics:
INFO:rademacher:Train - Epoch: 88, Loss: -3.063134, Metrics:
INFO:rademacher:Validate - Epoch: 88, Loss: -3.063134, Metrics:
INFO:rademacher:Train - Epoch: 89, Loss: -3.093349, Metrics:
INFO:rademacher:Validate - Epoch: 89, Loss: -3.093349, Metrics:
INFO:rademacher:Train - Epoch: 90, Loss: -3.123576, Metrics:
INFO:rademacher:Validate - Epoch: 90, Loss: -3.123576, Metrics:
INFO:rademacher:Train - Epoch: 91, Loss: -3.153809, Metrics:
INFO:rademacher:Validate - Epoch: 91, Loss: -3.153809, Metrics:
INFO:rademacher:Train - Epoch: 92, Loss: -3.184031, Metrics:
INFO:rademacher:Validate - Epoch: 92, Loss: -3.184031, Metrics:
INFO:rademacher:Train - Epoch: 93, Loss: -3.214236, Metrics:
INFO:rademacher:Validate - Epoch: 93, Loss: -3.214236, Metrics:
INFO:rademacher:Train - Epoch: 94, Loss: -3.244424, Metrics:
INFO:rademacher:Validate - Epoch: 94, Loss: -3.244424, Metrics:
INFO:rademacher:Train - Epoch: 95, Loss: -3.274614, Metrics:
INFO:rademacher:Validate - Epoch: 95, Loss: -3.274614, Metrics:
